anio,salarioDiario,salarioMensual
1950,2,60
1960,6.6,198
1970,17.3,519
1980,150,4500
1984,376.6,11298
1985,451.92,13558
1986,560.38,16811
1987,683.66,20510
1988,854.58,25637
1989,1085.32,32560
1990,1367.5,41025
1991,1724,51720
1992,2173,65190
1993,2717,81510
1994,3290,98700
1995,3964,118394
1996,4737,142125
1997,5733,172005
1998,6794,203825
1999,7882,236460
2000,8670,260100
2001,9533,286000
2002,10300,309000
2003,11066,332000
2004,11933,358000
2005,12716,381500
2006,13600,408000
2007,14456,433700
2008,15383,461500
2009,16563,496900
2010,17166,515000
2011,17853,535600
2012,18890,566700
2013,19633,589000
2014,20534,616000
2015,21478,644350
2016,22966,689455
2017,24590,737717
2018,26041,781242